integral	adj. 必需的，不可缺少的
guard	v. 保护
branch	n. 分支，分公司
affiliate	v. 使隶属于
irrigation	n. 灌溉
stove	n. 炉子
memorable	adj. 值得纪念的
elimination	n. 消除，淘汰
revenue	n. 收入
decisive	adj. 决定性的
displace	v. 取代
violation	n. 违反
ideological	adj. 意识形态的
neighborhood	n. 附近
calorie	n. 卡路里
fierce	adj. 激烈的
mention	v. 提及
extend	v. 延伸；延期
column	n. 专栏
analytical	adj. 分析的
figure	n. 数字
frighten	v. 使害怕
preindustrial	adj. 工业化以前的
furnish	v. 提供
scarcity	n. 缺乏
transform	v. 转变
misled	v. (mislead过去式)误导
intervene	v. 干涉
vary	v. 变化
bureaucracy	n. 官僚主义
recruiter	n. 招聘者
pattern	n. 模式
necessity	n. 必须，必要性
deny	v. 否认
drift	v. 漂流
endorsement	n. 支持
dare	v. 勇敢，敢于做
consultancy	n. 咨询公司
constant	adj. 不断的
deposit	v. 存放 n. 存款
transmit	v. 传播，传导
undermine	v. 削弱
resign	v. 辞职
respective	adj. 各自的
consent	n. 同意
reunion	n. 团聚
premium	n. 〔尤指每年缴付的〕保险费
interpretation	n. 解释，理解
concrete	adj. 具体的
facility	n. 设施
convert	v. 转换，改变
prompt	v. 促使
weave	v. 织布，编织
conformity	n. 一致
inaction	n. 不作为
trim	v. 修剪
irony	n. 讽刺
monopolize	v. 垄断
workload	n. 工作量
complicated	adj. 复杂的
property	n. 财产
underrepresented	adj. 未被充分代表的
philosophy	n. 哲学
regime	n. 制度，管理体制
bizarre	adj. 古怪的；奇怪的
ruin	v. 毁坏
inspire	v. 鼓励
deforestation	n. 砍伐森林
exceptional	adj. 例外的
hazard	n. 危险
upgrade	v. 升级
abnormally	adv. 不正常地
accidentally	adv. 偶然地，意外地
frontier	n. 边境
considerable	adj. 相当多的
legalize	v. 合法化
dispensable	adj. 可有可无的
certify	v. 保证，证明
insurer	n. 保险公司；承保人
overstate	v. 夸张
profound	adj. 深刻的；博学的
agony	n. 痛苦
craft	n. 手艺 v. 精巧地制作
obscurity	n. 默默无闻
guarantee	v. 保证
dolphin	n. 海豚
severity	n. 严重性
discourage	v. 阻止；使气馁
fault	n. 过失
robbery	n. 抢劫
inanimate	adj. 无生命的
calculation	n. 计算
baffle	v. 使迷惑，困惑
overcharge	v. 多收钱
nap	n. 小睡
disposal	n. 处理；支配
authorities	n. 当局
chronicle	v. 记录
shade	v. 为…遮阳[挡光]，遮蔽〔光线〕
milestone	n. 里程碑
