sculpture	n. 雕塑
responsibility	n. 责任
manuscript	n. 手稿
duplicate	n. 副本，复制品
ecosystem	n. 生态系统
humorous	adj. 幽默的
contaminate	v. 污染，弄脏
orbit	n. 轨道
evolve	v. 进化
skyrocket	v. 猛增
portion	n. 部分
cautious	adj. 谨慎的
assassinate	v. 刺杀，暗杀
narrow	v. 变窄，缩小
botanical	adj. 植物学的
conquer	v. 征服
regain	v. 重新获得
composition	n. 作文
stress	v. 强调
yield	v. 产生
spectacle	n. 景象
host	v. 主持
release	v. 释放；发布
malicious	adj. 恶毒的
prevailing	adj. 流行的
gratitude	n. 感激
mobility	n. 流动性；活动性
ascend	v. 上升
fake	n. 假货
inflation	n. 通货膨胀
plot	n. 情节
manufacture	v. 生产，制造
criticism	n. 批评
outsource	v. 外包
obstacle	n. 阻碍
appreciative	adj. 表示赞赏的，感谢的
predominantly	adv. 占主导地位地
invasion	n. 入侵
detect	v. 发现
addict	n. 吸毒上瘾者；对…着迷的人
slash	v. 猛削，劈，砍；削减
cognitive	adj. 认知的
extinguish	v. 熄灭；使消亡
disadvantage	n. 缺点，不利条件
alien	adj. 陌生的
barely	adv. 几乎不，仅仅
simulate	v. 模拟，模仿
prospective	adj. 预期的；未来的
interaction	n. 相互影响，相互作用；互动
materialize	v. 实现
contribute	v. 有助于，促成；捐赠
dishonest	adj. 不诚实的
appeal	n. 请求，呼吁,；上诉
applicant	n. 申请者
intelligent	adj. 聪明的
spacious	adj. 宽敞的
fatal	adj. 致命的
counselor	n. 咨询顾问
potential	adj. 潜在的 n. 潜力
assimilate	v. 同化
cropland	n. 农田
relieved	adj. 轻松的，缓解的
compel	v. 强迫
program	v. 计划，安排
capacity	n. 能力；容量
orient	v. 使确定方向；使适应
undertaking	n. 任务，事情
shift	v. 转移注意力；转变
liberation	n. 解放
utterly	adv. 完全地，彻底地
immense	adj. 巨大的
inferior	adj. 比……差
accrue	v. 积累
genuine	adj. 真的；由衷的
nominate	v. 提名
distinctive	adj. 与众不同的
mismanagement	n. 管理不当
reckon	v. 认为，评价
mask	n. 面具 v. 掩饰，掩盖
forge	v. 伪造；锻造
identical	adj. 相同的
imperial	adj. 帝国的
target	n. 目标 v. 把…作为目标
disconnect	v. 断开
immigrant	n. 移民
unqualified	adj. 不合格的，不胜任的
edit	v. 编校；编辑；剪辑
govern	v. 管理
assert	v. 主张，断言
breezy	adj. 轻松愉快的
hesitate	v. 犹豫
presidency	n. 总统任期
quota	n. 配额
dropout	n. 辍学学生
capture	v. 逮捕；捕捉
integrity	n. 正直
flee	v. 离开
certification	n. 证书
instant	adj. 立即的
criminal	adj. 犯罪的 n. 罪犯
