abolition	n. 废除
detective	n. 侦探
skyscraper	n. 摩天大楼
corruption	n. 腐败
intolerant	adj. 无法容忍的
pierce	v. 刺穿
compensate	v. 弥补
gap	n. 差距
worship	v. 崇拜，喜爱
gallery	n. 美术馆
coach	n. 教练
cancel	v. 取消
strike	n. 罢工
rebellion	n. 叛逆
distract	v. 分心，分散注意
imperative	adj. 必须的,必要的
geology	n. 地质学
sway	v. 影响
costume	n. 服装
manual	adj. 手工的；体力的
quantifiable	adj. 可量化的
expenditure	n. 费用，花销
breed	v. 繁殖；导致
emerge	v. 出现
noted	adj. 著名的
position	v. 安放 n. 位置；职位
extinction	n. 灭绝
receptionist	n. 接待员
reckless	adj. 鲁莽的
abuse	n. 虐待 v. 滥用
accuse	v. 指控
biochemistry	n. 生物化学
optimism	n. 乐观
predict	v. 预测
notoriously	adv. 臭名昭著地
board	n. 董事会
pose	v. 形成
memorandum	n. 备忘录
puzzling	adj. 迷惑的，困扰的
reliable	adj. 可靠的
replacement	n. 代替
reinforce	v. 增强，强化
impart	v. 传授，教授
diversity	n. 多样性
occupation	n. 职业
intense	adj. 激烈的，强烈的
dramatically	adv. 大幅度地；戏剧性地
awareness	n. 意识
virtually	adv. 几乎
maturity	n. 成熟
rare	adj. 罕见的，稀少的
curb	v. 限制，控制
favor	v. 恩惠；善意的行为
productivity	n. 生产力
mechanism	n. 机制
helicopter	n. 直升飞机
validity	n. 有效性；真实性
relevant	adj. 相关的
miracle	n. 奇迹
fertilizer	n. 肥料
shady	adj. 阴凉的
poll	n. 民意测验
countermeasure	n. 对策
worldly	adj. 世间的，尘世的
legislator	n. 立法者
campaign	n. 活动
odds	n. 可能性
shepherd	v. 引导，带领
schedule	n. 计划表
access	v. 取得，获取
owl	n. 猫头鹰
interpret	v. 口译；解释
intervention	n. 干涉
bemoan	v. 抱怨；惋惜
determine	v. 决定
incur	v. 引起，导致
literal	adj. 字面的
proposition	n. 提议，主题
feasibility	n. 可行
destructive	adj. 破坏性的，毁灭性的
denationalize	v. 使非国有化
resort	n. 度假胜地
engage	v. 忙于，从事；雇佣
disarm	v. 解除，消除
approximately	adv. 大约
cover	v. 遮盖，遮蔽
validation	n. 证实
widespread	adj. 广泛传播的
unethical	adj. 不道德的
withdraw	v. 撤销，撤退
relay	v. 接替，转播
fluently	adv. 流利地
mysteriously	adv. 神秘地
hinder	v. 阻碍
session	n. 会议；学年
postdoctoral	adj. 博士后的
prioritize	v. 优先
bipartisan	adj. 两党的
reluctance	n. 勉强，不情愿
intuitive	adj. 直觉的
