divine	adj. 神的；敬神的
deliberate	adj. 深思熟虑的；审慎的
profound	adj. 见解深刻的；渊博的
trench	n. 深沟；壕沟，战壕
photography	n. 摄影术
editorial	n. 社论，期刊的社论
sociology	n. 社会学
conceive	v. 设想，以为；怀孕
reject	v. 舍弃，抛弃；排斥
serpent	n. 蛇（尤指大蛇或毒蛇）
extravagant	adj. 奢侈的；过度的
maid	n. 少女；处女
maiden	n. 少女，未婚女子
scorch	v. 烧焦；枯萎
context	n. 上下文；来龙去脉
Heaven	n. 上帝，神
counsel	n. 商议；忠告；律师
tradesman	n. 商人，店主；手艺人
trader	n. 商人
dealer	n. 商人；毒品贩；发牌者
ware	n. 物品；商品，货物
merchandise	n. 商品，货物
blue	adj. 伤心的；下流的
goodness	n. 善良，善行，美德
underwear	n. 衫衣，内衣，贴身衣
cancel	v. 取消
gap	n. 差距；山口，山峡
sift	v. 筛，过滤
shark	n. 鲨鱼；诈骗钱财者
gravel	n. 砂跞；砂砾层；结石
sardine	n. 沙丁鱼
tone	n. 色调，光度
scan	n. 扫描
uproar	n. 骚动，扰乱；喧嚣
prose	n. 散文
emission	n. 散发；传播；发出物
stroll	n. 散步，溜达，闲逛
triangular	adj. 三角的；三者间的
mute	n. 弱音器
choice	n. 入选者 adj. 优等的
tolerant	adj. 容忍的；有耐力的
commodity	n. 日用品，商品，物品
routine	adj. 日常的 n. 常规
undertaking	n. 任务，事业；承诺
deem	v. 认为，相信，想
awake	v. 认识到
recognition	n. 认出，识别
identification	n. 身份证；认出，鉴定
merciful	adj. 仁慈的，宽大的
hostage	n. 人质
pitch	n. 沥青
personnel	n. 人事部门
humanity	n. 人类；人性，人情
personality	n. 人格，个性；名人
thermal	adj. 热的；温热的
tropic	n. 回归线；热带地区
tropical	adj. 热带的；（天气）湿热的
concession	n. 让步，迁就
combustion	n. 燃烧
whisker	n. 髯，连鬓胡子
flock	v. 群集，聚集
conviction	n. 确信，信服，深信
certainty	n. 确实性，确信，确实
positively	adv. 确定的，断然
quantify	v. 确定…的数量
deficient	adj. 缺乏的；欠缺的
deficiency	n. 缺乏；不足
scarcity	n. 缺乏，不足
flaw	n. 缺点，瑕疵
induce	v. 劝诱；引起
persuasion	n. 劝说，说服
claim	n. 权利，所有权
late	adj. 去世不久的
extract	v. 取出；提取 n. 摘录
crank	n. 曲柄 v. 用曲柄转动
expel	v. 开除；驱逐；排出
dissipate	v. 驱散；消散；浪费
spherical	adj. 球形的，球面的
global	adj. 全球的
Jupiter	n. 木星；丘庇特
plea	n. 请愿，请求，恳求
petition	n. 请愿 v. 向…请愿
sight	n. 景象；名胜，风景
mistress	n. 情妇，情人
mosque	n. 清真寺
cleanliness	n. 清洁
inclination	n. 倾斜，点头；斜坡
rap	n. 轻敲击声 v. 敲击
rash	adj. 轻率的；鲁莽的
bronze	n. 青铜色
industrious	adj. 勤劳的，勤奋的
admiration	n. 钦佩；赞美，羡慕
agreeable	adj. 惬意的；同意的
section	n. 部分
segment	n. 切片，部分；段，节
slit	v. 切开 n. 狭长的切口
hardy	adj. 强壮的，耐劳的
compulsory	adj. 强迫的，义务的
constraint	n. 限制，束缚，约束
mighty	adj. 强大的；巨大的
