allied	adj. 联合的；联姻的
ripple	n. 涟漪，细浪，波纹
mitten	n. 连指手套
attachment	n. 爱慕；附件；连接物
junction	n. 连接点，汇合处
chestnut	n. 栗子；栗树；栗色
exceptional	adj. 优越的；例外的
solar	adj. 利用太阳光的
impose	v. 将（想法、信仰等）强加于（某人）
utilization	n. 利用，效用
stereo	n. 立体声 adj. 立体声的
cubic	adj. 立方体的；立方的
legislation	n. 立法；法规
historian	n. 历史学家；编史家
historic	adj. 历史的；历史性的
mechanics	n. 力学，机械学
intellect	n. 理智，智力，才智
ideally	adv. 理想地；理论上
abstract	adj. 理论上的 n. 抽象派作品
slang	n. 俚语；行话，黑话
courtesy	n. 礼貌，谦恭
twilight	n. 黄昏
ion	n. 离子
excursion	n. （尤指集体）远足，短途旅行
grim	adj. 严厉的
prism	n. 棱镜；棱柱（体）
troublesome	adj. 困难的
analogue	n. 类似物
similarity	n. 类似，相似；类似点
flank	n. 肋，肋腹；侧面
comprehend	v. 了解，理解，领会
optimism	n. 乐观，乐观主义
sophisticated	adj. 老于世故的；高级的
straightforward	adj. 老实的，坦率的
wasteful	adj. 浪费的
idleness	n. 懒惰；赋闲无事
shabby	adj. 破旧的；褴褛的
dust	n. 灰尘
flight	n. 溃退，逃跑
rapture	n. 狂喜，欢天喜地
fury	n. 狂怒，暴怒；猛烈
violent	adj. 狂暴的
furious	adj. 狂暴的；强烈的
satisfaction	n. 满足，愉快
snack	n. 快餐，小吃
rapidity	n. 快，迅速；陡，险峻
parade	v. 夸耀（才能等）
pants	n. 裤子；男用短衬裤
bitterness	n. 苦味，辛酸，苦难
wither	v. 枯萎；使衰弱
clasp	v. 扣住，扣紧，钩住
fastener	n. 扣件，钮扣，揿钮
stammer	v. 口吃地说 n. 口吃
panic	n. 恐慌，惊慌
terrorist	n. 恐怖分子
peacock	n. 孔雀
fantastic	adj. 空想的；奇异的
pneumatic	adj. 空气的；气动的
aerial	adj. 空气的；航空的
spatial	adj. 空间的，占据空间的
void	adj. 无效的；空的
gnaw	v. 啃，咬断，啮
longing	n. 渴望 adj. 显示渴望的
suspicious	adj. 可疑的；猜疑的
shady	adj. 可疑的，靠不住的
questionable	adj. 可疑的，不可靠的
portable	adj. 可移动的
grateful	adj. 感谢的，感激的
adjustable	adj. 可调整的，可校准的
frightful	adj. 可怕的；讨厌的
formidable	adj. 可怕的；难对付的
dreadful	adj. 可怕的；令人畏惧的
monstrous	adj. 极大的；可怕的
possibility	n. 可能的事
likelihood	n. 可能（性）
respectable	adj. 可敬的；人格高尚的
appreciable	adj. 可察觉的
shameful	adj. 可耻的；不道德的
comparable	adj. 可比较的；类似的
particular	adj. 特称的；苛求的
whereby	adv. 靠什么；靠那个
ponder	v. 考虑，沉思
exploration	n. 考察；勘探；探查
generosity	n. 慷慨，宽宏大量
discern	v. 弄清楚，辨别；看出，辨出
fell	v. 砍倒（树等）；砍伐
carry	v. 刊登
inaugurate	v. 使就职；开始
initiate	v. 开始，创始；启蒙
commence	v. 开始；获得学位
reclaim	v. 开垦，开拓；回收
evolution	n. 进化
start	v. 开动，着手；开设
unlock	v. 开…的锁；开启
sheriff	n. 郡长
monarch	n. 君主，最高统治者
sovereign	n. 君主 adj. 统治的
bugle	n. 军号，喇叭
extinct	adj. 绝种的
decisive	adj. 决定性的；果断的
