govern	v. 决定，支配；控制
winding	n. 蜿蜒曲折的路径 adj. 蜿蜒曲折的
curly	adj. 卷曲的；有卷毛的
reel	v. 卷，绕
mob	v. 团团围住（名人等）
polymer	n. 聚合物，多聚物
hurricane	n. 飓风，十二级风
sting	n. 剧痛；刺痛 v. 刺
repel	v. 使厌恶；拒绝
gigantic	adj. 巨大的；巨人似的
uphold	v. 维护
exemplify	v. 举例证明（解释）
rectangle	n. 矩形，长方形
administration	n. 局（或署、处等）
reside	v. 居住，驻扎；属于
dwell	v. 居住；凝思，细想
induction	n. 就职；归纳推理
Christ	n. 救世主（耶稣基督）
symposium	n. 座谈会
whoever	pron. 究竟是谁
rectify	v. 纠正；调整
vein	n. 静脉，血管；矿脉
competitor	n. 竞争者，敌手
competitive	adj. 竞争的，比赛的
contend	v. 竞争；坚决主张
alert	adj. 警惕的
warning	n. 警告，告诫，鉴诫
whale	n. 鲸
selection	n. 选择；精选的东西
thorough	adj. 精心的；详尽的
finely	adv. 精细地；美好地
literary	adj. 文学的
refinery	n. 精炼厂，提炼厂
vigorous	adj. 精力旺盛的，茁壮的
fright	n. 惊吓，恐怖
astonishment	n. 惊奇，惊讶
dismay	n. 惊慌，沮丧，灰心
empirical	adj. 经验主义的
longitude	n. 经线，经度
support	v. 经受，承受
economics	n. 经济学；经济
prohibition	n. 禁止；禁令，禁律
shortcut	n. 近路；捷径
inlet	n. 水湾；进口
perfection	n. 尽善尽美；无比精确
notwithstanding	prep. 尽管，虽然
prudent	adj. 谨慎的；精明的
compact	adj. 紧密的 v. 使紧凑
tightly	adv. 紧地，牢固地
barely	adv. 勉强；仅仅
metallic	adj. 金属的
tuna	n. 金枪鱼
henceforth	adv. 今后，从今以后
mustard	n. 芥子，芥末
presentation	n. 介绍；呈现
interpret	v. 口译；解释
version	n. 解释
untie	v. 解开，松开；解放
tackle	v. 解决，对付 n. 用具
dissolve	v. 解除（婚约等）
tuberculosis	n. 结核病，肺结核
incorporate	v. 结合，合并，收编
construction	n. 建筑结构
economically	adv. 在经济上；节约地
abbreviation	n. 节略，缩写，缩短
thrifty	adj. 节俭的
interview	v. 接见，会见，会谈
receiver	n. 接待者；收受者
yeast	n. 酵母
doctrine	n. 教义，主义；学说
tutor	v. 教，指导
disillusion	v. 觉醒，使觉醒
horn	n. 角状物；喇叭形物
reef	n. 礁，礁石，暗礁
coke	n. 焦炭
symphony	n. 交响乐；交响乐团
intercourse	n. 交际，往来，交流
soy	n. 大豆，黄豆；酱油
parachute	n. 降落伞
degradation	n. 降级；退化；衰变
oar	n. 桨
discourse	n. 讲话，演说，讲道
ginger	n. 姜，生姜
splash	v. 溅泼；泼水 n. 溅泼声
architect	n. 建筑师；创造者
theory	n. （未证明的）见解，看法，推测
clip	v. 剪；剪辑报刊
diminish	v. 减少，减小
lessen	v. 减少，变少
inspector	n. 检查员；巡官
reserve	n. 缄默，自我克制
challenge	n. 艰巨任务
enterprise	n. 艰巨的事业；事业心
resolute	adj. 坚决的，果敢的
firmness	n. 坚固，坚定，稳固
sturdy	adj. 牢固的；坚定的
steady	adj. 稳定的，扎实的
stability	n. 稳定
insistent	adj. 坚持的
persistence	n. 坚持；持续，存留
