sensation	n. 感觉，知觉；轰动
Thanksgiving	n. 感恩节
chill	v. 感到寒冷；冷藏
outline	v. 概述，概括
notion	n. 概念；看法
conception	n. 概念，观念，想法
summary	adj. 概括的；速决的
generalize	v. 概括出
impress	v. 盖印，在…打记号
mend	v. 修理；改正
duplicate	n. 复制品 v. 复制
complication	n. 复杂，混乱；并发症
complexity	n. 复杂（性）
satellite	n. 附属国
appendix	n. 附录；阑尾
extra	n. 附加物；额外的东西
incidentally	adv. 附带地；顺便提及
charge	n. 负荷；充电 v. 装满
negative	adj. 负的；（结果）阴性的
corrosion	n. 腐蚀，侵蚀；锈
erosion	n. 腐蚀，侵蚀；糜烂
subsidiary	adj. 辅助的，补充的
coach	v. 指导，训练；辅导
answer	v. 符合，适合
emerge	v. 浮现，出现；显露
obedient	adj. 服从的，顺从的
obedience	n. 服从，顺从
maintenance	n. 扶养费；维持
veto	n. 否决，否决权；禁止
denial	n. 否定；拒绝相信
Buddhism	n. 佛教，释教
dedicate	v. 奉献；献身
flatter	v. 奉承，阿谀，谄媚
pineapple	n. 凤梨，波萝
seam	n. 缝口；接缝；骨缝
landscape	n. 风景，景色，景致
windmill	n. 风车
plump	adj. 丰满的
abundance	n. 丰富，充裕
indignation	n. 愤怒，愤慨，义愤
shatter	v. 粉碎，破碎；毁坏
molecular	adj. 分子的；克分子的
limb	n. 肢；手臂；腿
offset	v. 抵销
fraction	n. 分数
distract	v. 分散（心思）；打扰
installment	n. 分期付款
split	n. 分裂，分化，派系
detach	v. 分开；派遣（军队）
partition	n. 分开，分割；隔墙
interface	n. 分界面
relay	v. 分程传递；使接替；转播
diverge	v. 分岔；分歧
litter	n. 废物；杂乱 v. 乱扔
abolish	v. 废除，取消
gangster	n. 匪徒，歹徒，暴徒
extraordinarily	adv. 非常地，特别地
fly	v. 飞跑；逃跑，消失
aviation	n. 飞行（术）
indulge	v. 放纵（感情），纵情
herd	v. 成群；放牧
magnify	v. 放大，扩大
imitation	n. 仿制品，伪制物
pattern	v. 仿制，仿造，模仿
reproduce	v. 仿造
estate	n. 财产，产业；房地产
hamper	v. 妨碍，阻碍，牵制
handicap	v. 妨碍，使不利
handy	adj. 方便的；便于使用的
offence	n. 犯罪，犯规；冒犯
blunder	v. 犯大错 n. 大错
mirror	n. 反映，借鉴
reactor	n. 反应堆
echo	v. 回响
contrary	n. 反对命题
contradict	v. 反驳，否认
propagation	n. 繁殖；传播；蔓延
propagate	v. 传播，普及；繁殖
toss	v. 翻来覆去
decree	n. 法令，政令
flannel	n. 法兰绒
valve	n. 阀，阀门；电子管
originate	v. 发源；首创
spokesman	n. 发言人，代言人
outlet	n. 发泄（感情等）的方法
incidence	n. 发生率，影响；入射
generate	v. 发生，产生；生成
invoice	n. 发票，发货清单
detector	n. 发觉者，探测器
flame	v. 燃烧
exert	v. 发挥（威力），施加
luminous	adj. 发光的；夜明的
beam	v. 发光，发热；开怀大笑
motive	adj. 发动的，运动的
dynamo	n. 发电机
rattle	v. 发出格格声
dioxide	n. 二氧化物
bait	n. 饵；引诱物
subsequent	adj. 尔后的
whereas	conj. 而，却，反之
