smash	v. 打碎，打破，粉碎
sneeze	v. 打喷嚏
lighter	n. 打火机，引燃器
snore	v. 打鼾，打呼噜
thresh	v. 打谷，脱粒
forge	v. 打（铁等），锻造
passport	n. 达到目的的手段
inaccessible	adj. 达不到的，难接近的
frustrate	v. 挫败
latent	adj. 存在但看不见的
frail	adj. 脆弱的
fragile	adj. 脆弱的；体质弱的
crisp	adj. 脆的
catalyst	n. 催化剂；刺激因素
promotion	n. 促进；提升
reckless	adj. 粗心大意的；鲁莽的
vulgar	adj. 粗俗的，庸俗的
massive	adj. 粗大的；大而重的
harsh	adj. 粗糙的；严厉的
jungle	n. 丛林，密林，莽丛
follow	v. 从事（职业），经营
overflow	v. 从…中溢出
smart	v. 刺疼，扎疼，剧痛
prick	v. 刺（穿） n. 刺痛
thereafter	adv. 此后，以后
magnetism	n. 磁；魅力
porcelain	n. 瓷 adj. 瓷的，瓷制的
initial	adj. 词首的
glossary	n. 词汇表；术语汇编
vocabulary	n. 词汇表，词汇汇编
stem	n. 词干
poke	v. 戳，刺；伸（头等）
lipstick	n. 唇膏，口红
stainless	adj. 不锈的；纯洁的
sheer	adj. 纯粹的；全然的
perpendicular	adj. 垂直的
author	n. 创造者，创始人
innovation	n. 创新，改革；新设施
initiative	n. 倡议；新方案
puff	v. 喘气；喷（烟等）
shipwreck	n. 船舶失事
report	n. 传说，议论
infectious	adj. 传染的；感染性的
romance	n. 传奇；浪漫文学
herald	n. 传令官；通报者
missionary	n. 传教士
sensor	n. 传感器，灵敏元件
circular	n. 传单，通报，通函
leaflet	n. 传单
convey	v. 传达；传播；转让
pierce	v. 穿透，戳穿
penetration	n. 穿入；渗透
antenna	n. 触角；天线
virgin	n. 处女 adj. 处女的
transaction	n. 交易；处理
penalty	n. 处罚，刑罚，罚款
exclusive	adj. 除外的
notorious	adj. 臭名昭著的
scandal	n. 丑事，丑闻；耻辱
specimen	n. 抽样，样品
extraction	n. 抽出；提取法
adore	v. 崇拜，爱慕；很喜欢
worship	v. 崇拜；做礼拜
bug	n. 虫子；臭虫
punch	v. 打孔 n. 冲压机
strife	n. 冲突，竞争
equator	n. 赤道，天球赤道
gear	n. 齿轮，传动装置
persist	v. 持续，存留
breakfast	v. 吃早餐
dine	v. 吃饭
proceeding	n. 程序，行动，事项
length	n. 长度
acknowledge	v. 承认；告知收到
shoulder	v. 承担；挑起
integrity	n. 诚实，正直
offer	v. 出现
membership	n. 成员资格；会员人数
systematic	adj. 成体系的
kit	n. 成套工具；用具包
commend	v. 称赞，表扬；推荐
brood	v. 沉思，郁闭地沉思
muse	v. 沉思，默想，冥想
meditate	v. 沉思；冥想
hush	n. 沉默 int. 嘘！
immerse	v. 沉浸；给…施洗礼
repeal	v. 撤销
lathe	n. 车床 v. 用车床加工
row	n. 吵架，口角
mock	v. 嘲弄，挖苦
reign	n. （某君主的）统治时期
supersonic	adj. 超声的，超声速的
ultrasonic	adj. 超声的 n. 超声波
surpass	v. 超过，超越，胜过
nickname	n. 绰号，诨号
waggon	n. 敞蓬车厢
spectacle	n. 场面，景象；奇观
resident	n. 常住者
haunt	v. （鬼魂）经常出没
visit	v. 拜访
