frequent	adj. 常见的；频繁的
shovel	n. 铲，铁铲 v. 铲
toad	n. 蟾蜍，癞蛤蟆
diesel	n. 柴油发动机，内燃机
errand	n. 差使，差事
ascertain	vt. 查明，确定，弄清
horizon	n. 地平线
tactics	n. 战术，兵法
grassy	adj. 草多的
herb	n. 草本植物；香草
groove	n. 槽
manipulate	v. 操作；操纵，控制
hatch	v. 策划；密谋
warehouse	n. 仓库，货栈
cruelty	n. 残酷；残酷行为
napkin	n. 餐巾（纸）
participate	v. 参与
senator	n. 参议员
reference	n. 参考文献；参照物
participant	n. 参加者
spectator	n. 参观者，观众
parameter	n. 参（变）数；参量
recipe	n. 菜谱，烹饪法
assumption	n. 假定
rule	v. 裁决，裁定
substance	n. 内容，本旨；财产
friction	n. 摩擦
sermon	n. 布道，讲道；说教
absent	adj. 不在的
disagreement	n. 争论；不一致
awkward	adj. 令人尴尬的
immortal	adj. 不朽的；永生的
wretched	adj. 不幸的
misfortune	n. 不幸，灾祸，灾难
incompatible	adj. 不相容的
instability	n. 不稳定性
incomplete	adj. 不完全的，未完成的
stuffy	adj. 不透气的，闷热的
opaque	adj. 不透明的
improper	adj. 不适当的；不合理的
dissatisfaction	n. 不满，不平
watertight	adj. 不漏水的，防水的
inevitably	adv. 不可避免地
irrespective	adj. 不考虑的，不顾的
inaccurate	adj. 不精密的，不准确的
unreasonable	adj. 不讲道理的；过高的
undesirable	adj. 不合需要的；讨厌的
unfit	adj. 不合适的；无能力的
absurd	adj. 不合理的，荒唐的
irregularity	n. 不规则；不整齐
disregard	v. 不管，不顾 n. 忽视
uncertain	adj. 不定的；无常的
impurity	n. 杂质；不纯
inadequate	adj. 不充足的，不适当的
invariably	adv. 不变地，永恒地
uneasy	adj. 不安的；拘束的
mammal	n. 哺乳动物
supplement	n. 补角
complement	v. 补充 n. 补足（物）
compensation	n. 补偿，赔偿，赔偿费
humanitarian	adj. 博爱的 n. 慈善家
barge	n. 驳船；大型游船
fluctuation	n. 波动
fluctuate	v. 波动，使波动
invalid	n. 病人
ward	n. 病房，病室；监房
strength	n. 兵力；强度
icy	adj. 冰冷的；冷冰冰的
objective	n. 目标 adj. 宾格的
villa	n. 别墅
characterize	v. 表现…的特性
signify	v. 表示，意味着
manifest	v. 表明 adj. 明显的
seemingly	adv. 表面上，外表上
superficial	adj. 表面的；肤浅的
criterion	n. 标准，准则，尺度
norm	n. 标准，规范；平均数
heading	n. 标题，题词，题名
reason	v. 论证，推断
advocate	v. 拥护 n. 辩护律师
discrimination	n. 歧视；辨别；识别力
transform	v. 变换
loosen	v. 变松
alteration	n. 变更，改变
fall	v. 变成，成为，陷入
program	v. 编制程序
edit	v. 编辑，编纂；校订
verge	n. 边缘，边界
rim	n. 边；边缘，（眼镜）框
hearth	n. 壁炉地面；炉边
fireplace	n. 壁炉
patron	n. 庇护人；赞助人
diploma	n. 毕业文凭，学位证书
indispensable	adj. 必不可少的，必需的
sullen	adj. 绷着脸不高兴的
bandage	n. 绷带，包带
breakdown	n. 崩溃，倒塌，失败
essence	n. 本质，本体
captive	adj. 被俘虏的
reverse	n. 背面，反面
