counter	adv. 相反地 adj. 相反的
eastward	adv. 向东
Moslem	n. 穆斯林 adj. 穆斯林的
melancholy	n. 忧郁的 adj. 忧郁，悲伤
bulletin	n. 告示，公告，公报
allowance	n. 津贴，补助费
cancel	vt. 取消， 撤销， 删去
numerous	adj. 众多的
surgeon	n. 外科医生
analyse	vt. 分析； 分解， 解析
abrupt	adj. 突然的， 意外的； 唐突的， 鲁莽的
spacious	adj. 宽广的， 宽敞的
disapproval	n. 不赞成
spontaneous	adj. 自发的， 无意识的； 自然的， 天真率直的
remote	adj. 遥远的， 偏僻的； 关系疏远的； 脱离的； 绝少的； 微乎其微的； 孤高的， 冷淡的
cafeteria	n. 自助餐馆， 自助食堂
rupture	v. 破裂 n. 破裂，裂开；决裂，断绝
wreck	n. 失事，残骸；精神或身体已垮的人 vt. 破坏
virgin	adj. 未经开发的， 未经使用的， 未经触动的； 处女的 n. 处女，未婚女子
afflict	vt. 使苦恼， 折磨
reproach	n&vt. 责备， 批评
fluctuate	vi. 波动， 涨落， 起伏
compartment	n. 卧车包房， 隔间； 分隔的空间
gloomy	adj. 忧郁的， 沮丧的； 令人沮丧的； 昏暗的， 阴沉的
kidnap	n. 绑架， 诱拐
warrant	n. 授权令；理由，根据 vt. 证明…是正当的
calculate	v. 计算， 推算； 计划， 打算
persistent	adj. 坚持不懈的， 执意的； 持续的
authorize	vt. 授权， 批准
sake	n. 缘故， 理由
audience	n. 听众， 观众； 读者
rehearsal	n. 排练， 排演
sniff	v. 以鼻吸气，用力吸入；嗅，闻 n. 吸气； 嗅， 闻
narrative	n. 叙述文， 故事； 叙述， 讲述
possess	vt. 占用， 拥有
coincide	vi. 同时发生； 相符， 相一致； 位置重合， 重叠
neutral	adj. 中立的， 中性的
scratch	v. 抓，搔，扒；刮擦，刻划 n. 抓痕， 划痕； 抓， 搔， 刮
analysis	n. 分析， 分析报告； 分解， 解析
devise	vt. 设计， 发明
cooperative	adj. 有合作意向的，乐意合作的；合作的，协作的 n. 合作社， 合作商店
triple	adj. 三部分的，三方的；三倍的，三重的 v. 增至三倍
clutch	vi. 企图抓住 vt. 抓紧，紧握 n. 离合器； 掌握， 控制； 把握， 抓紧
temper	n. 韧度；心情，情绪 vt. 调和， 使缓和； 回火
grope	vi. 暗中摸索，搜索；探索，搜寻 vt. 摸索
rejoice	vi. 感到高兴， 充满喜悦
frantic	adj. 慌乱不安的； 发疯似的， 发狂的
tickle	vi. 发痒 vt. 使发痒；使高兴，逗乐 n. 痒
object	vi. 反对， 不赞成 n. 实物， 物体； 目的， 目标； 对象， 客体； 宾语
humble	adj. 谦逊的；地位低下的；简陋的 vt. 使谦恭； 使卑下
commodity	n. 商品， 货物
cliff	n. 悬崖， 峭壁
obedient	adj. 服从的， 顺从的
infinite	adj. 无限的， 无数的
misery	n. 痛苦， 苦恼， 苦难； 悲惨的境遇， 贫苦
blur	v. 变模糊 n. 模糊，模糊的东西
suffice	vi. 足够
concede	vi. 让步， 认输 vt. 承认，承认…为真；承认失败；允许，让予
notable	adj. 值得注意的，显著的；著名的 n. 名人， 要人
plausible	adj. 似有道理的， 似乎正确的， 貌似可信的
equator	n. 赤道
commission	n. 委任状；委员会；佣金，回扣；授权，委托 vt. 委任， 委托
staircase	n. 楼梯
flip	adj. 〈口〉无理的， 轻率的， 轻浮的 vt. 快速翻动，转动 n. 捻掷，轻抛；轻拍
rational	adj. 理性的， 理智的； 合理的
barricade	n. 路障，栅栏，障碍 vt. 设路障于， 挡住
resume	vt. 重新开始， 继续， 恢复 n. 摘要， 概要； 简历
provocative	adj. 挑衅的， 煽动的， 刺激的； 挑逗的
committee	n. 委员会， 全体委员
posture	vi. 摆出姿势， 装模作样 n. 姿势，姿态；看法，态度
spiral	vi. 盘旋上升； 不断急剧地上升 adj. 螺旋的 n. 螺旋，螺旋式的上升
subtle	adj. 微妙的， 难以捉摸的； 诡秘的， 狡诈的； 隐约的
component	adj. 组成的， 构成的 n. 组成部分，部件，组件
overwhelm	vt. 使受不了， 使不知所措； 征服， 制服
suite	n. 套间； 一套家具； 套， 组， 系列
consultant	n. 顾问； 会诊医师， 专科医生
disguise	vt. 假扮，化装，伪装；掩盖，掩饰 n. 用来伪装的东西； 伪装， 掩饰
imperial	adj. 帝国的， 帝王的； 英制的
facet	n. 一个方面； 面
liberal	adj. 心胸宽大的， 慷慨的； 自由的， 自由主义的
surgery	n. 外科， 外科手术； 手术室
harmony	n. 调和； 协调； 和谐
violent	adj. 暴力引起的， 强暴的； 猛烈的， 剧烈的
resolve	v. 决定；解决；分解 n. 决心
cozy	adj. 舒适的； 亲切友好的
confront	vt. 迎面遇到， 遭遇； 勇敢地面对， 正视； 使对质， 使当面对证
dominate	v. 在…中占首要地位； 支配， 统治； 耸立于， 俯视； 拥有优势
imitate	vt. 模仿； 仿效； 仿制
deadly	adv. 非常， 极度地 adj. 致死的，致命的；不共戴天的；极度的，十足的
compute	v. 计算， 估算
institution	n. 协会； 制度； 习俗
huddle	vi. 聚集在一起，挤作一团；把身子蜷成一团，蜷缩 vt. 使聚集在一起 n. 挤在一起的人； 一堆杂乱的东西
skeleton	n. 骨骼； 框架， 骨干； 梗概， 提要
ambition	n. 雄心， 抱负， 野心； 期望得到的东西
intersection	n. 道路交叉口， 交点
exceed	vt. 超过， 胜过， 超出
implement	vt. 使生效， 履行， 实施 n. 工具， 器具， 用具
disperse	vi. 分散， 赶散； 消散， 驱散 vt. 使分散，散开；使消散，消失
avert	vt. 防止， 避免； 转移
fantasy	n. 想象， 幻想； 想象的产物
