shipment	n. 装运， 装船； 装载的货物
vicious	adj. 恶毒的， 凶残的； 剧烈的， 严重的
lace	n. 网眼花边，透孔织品；鞋带，系带 vt. 用系带束紧
enormous	adj. 巨大的， 庞大的
external	adj. 外部的， 外面的
gorgeous	adj. 华丽的， 灿烂的， 绚丽的； 令人十分愉快的， 极好的
circumstance	n. 情况，条件，境遇；
authority	n. 官方； 权力； 当权者， 行政管理机构； 权威， 专家
erosion	n. 腐蚀， 侵蚀， 磨损； 削弱， 减少
ascend	vi. 渐渐上升，升高 vt. 攀登， 登上
provided	conj. 假如， 若是
instrument	n. 仪器， 工具； 乐器
medium	adj. 中等的 n. 媒质，媒介物；传导体
indispensable	adj. 必不可少的， 必需的
lens	n. 透镜， 镜片； 镜头
embody	vt. 代表， 表现， 体现； 包括； 包含； 收录
fatal	adj. 致命的， 灾难性的， 毁灭性的； 重大的， 决定性的
motive	n. 动机， 目的
envisage	vt. 想象， 设想
wrestle	n. 摔跤； 斗争， 搏斗
motivate	vt. 作为…的动机； 激励， 激发
marginal	adj. 微小的， 少量的； 不重要的； 仅以微弱多数票获胜的； 记在页边的， 有旁注的
spoil	vi. 变质 vt. 损坏，糟蹋；宠坏，溺爱 n. 战利品， 掠夺物
multiply	v. 增加， 繁殖； 乘
pasture	n. 牧草地，牧场 vt. 放牧
approval	n. 赞成， 同意； 认可， 批准
mobile	adj. 运动的；流动的；多变的 n. 移动电话
multiple	adj. 复合的；多重的，多样的 n. 倍数
evolution	n. 进化， 演化； 发展
peak	vi. 达到高峰； 达到最大值 adj. 最大值的；高峰的 n. 山顶，顶点，顶峰
magnet	n. 磁铁， 磁体； 有吸引力的人和事物
concentrate	v. 全神贯注，全力以赴；集中，聚集；浓缩 n. 浓缩物， 浓缩液
expose	vt. 使暴露， 揭露
versatile	adj. 多才多艺的， 有多种技能的； 有多种用途的， 多功能的， 万用的
versus	prep. 以…为对手， 对； 与…相对， 与…相比之下
complaint	n. 抱怨， 怨言； 控告
permissible	adj. 可允许的， 许可的
cancer	n. 癌， 癌症， 肿瘤
splash	v. 溅，泼 n. 溅泼声； 溅出的水； 斑点
inject	vt. 注射， 给…注射； 注入， 引入， 投入
romance	n. 恋爱， 恋爱关系； 浪漫气氛， 传奇色彩； 爱情小说， 传奇故事
offense	n. 犯规， 违法行为； 冒犯， 得罪
atlas	n. 地图集
invisible	adj. 看不见的， 无形的
focus	v. 聚焦；集中 n. 焦点， 中心
hamper	vt. 妨碍，束缚，限制 n. 大篮子
motel	n. 汽车旅馆
approach	vt. 向…靠近 n. 靠近； 途径， 方式
exaggeration	n. 夸张； 夸大之词
peg	n. 小钉，栓，挂物钉；桩 vt. 用钉子钉， 用钉固定； 限定； 将…看成， 将…归入
myth	n. 杜撰出来的人； 神话
decisive	adj. 决定性的； 坚定的， 果断的， 决断的
concise	adj. 简明的， 简要的
implication	n. 含意， 暗示， 暗指； 卷入， 牵连
thesis	n. 论文， 毕业论文； 论题， 论点
bump	vi. 碰，撞；
reservation	n. 预订； 保留； 犹豫； 居留地
revive	v. 复苏
cordial	adj. 热情友好的， 热诚的
timid	adj. 羞怯的， 胆小的
loyalty	n. 忠诚， 忠心
dismiss	vt. 不再考虑； 解雇， 解散； 驳回
underlying	adj. 在下面的； 含蓄的； 潜在的
reform	n&v. 改革， 改良， 改造； 改正， 改过自新
install	vt. 安装， 设置； 使就职， 任命
ensue	vi. 接着发生， 接踵而来， 因而产生
indication	n. 指出， 指示； 迹象， 暗示
bulk	v. 变得越来越大； 使更大 n. 物体，体积；大批
bull	n. 公牛； 雄兽； 买进证券投机图利者， 看涨的人
champion	n. 冠军， 得胜者； 捍卫者， 拥护者
ceramic	adj. 陶器的 n. 陶瓷器
queer	adj. 奇怪的， 异常的； 不舒服的， 眩晕的
successor	n. 接替的人或事物， 继任者
enlightenment	n. 启发， 开导； 开明， 文明
booklet	n. 小册子
magnificent	adj. 壮丽的， 华丽的； 极好的
stagger	vi. 摇晃，蹒跚 vt. 使吃惊；使错开，使交错 n. 蹒跚， 踉跄
irony	n. 反话， 冷嘲， 嘲弄； 具有讽刺意味的事
restrict	vt. 限制， 约束， 限定
bandage	n. 绷带 vt. 用绷带绑扎
prevalence	n. 流行
scrap	n. 碎片，碎屑；废金属；残羹剩饭；少量，点滴 vt. 废弃， 抛弃
syndrome	n. 综合病症， 综合症状； 一系列表现
tow	n&vt. 拖， 拉， 牵引
imperative	adj. 必要的；紧急的，极重要的；命令的 n. 必要的事， 必须完成的事； 【语】祈使语气
meadow	n. 草地
hitherto	adv. 到目前为止， 迄今
energetic	adj. 精力充沛的， 充满活力的
haul	vt. 拖，拉；拖运，运送 n. 拖， 拉， 托运； 一次获得的数量
avail	v. 有帮助； 有益； 有用 n. 效用，利益，帮助
consequence	n. 结果， 后果； 重要， 重大
linear	adj. 线的， 直线的， 线状的； 长度的； 线性的
robust	adj. 强壮的， 健康的
dominant	adj. 占优势的， 支配的， 统治的； 居高临下的， 高耸的
premier	adj. 首要的， 首位的， 首次的 n. 总理，首相
peel	vi. 剥落，脱皮 vt. 削…的皮，剥…的壳 n. 皮， 外衣
intellectual	adj. 智力的 n. 知识分子
reclaim	vt. 要回； 开垦； 回收
denounce	vt. 谴责， 指责； 告发
verge	vi. 接近， 濒临 n. 边，边缘
