pastry	n. 油酥面团， 酥皮糕点
messenger	n. 送信人， 信使
disable	vt. 丧失能力， 伤残
irrespective	adj. 不考虑的， 不顾及的
entity	n. 实体， 独立存在体， 实际存在物
prohibit	vt. 禁止， 不准
bacteria	n. 细菌
fuel	n. 燃料，燃料剂 vt. 给…加燃料； 刺激
hostile	adj. 敌方的， 不友善的
reign	vi. 当政， 统治； 占主导地位 n. 君主的统治，君主的统治时期
tempo	n. 速度； 节奏， 行进速度
descendant	n. 后裔， 后代
foresee	vt. 预见， 预知
bruise	n. 青肿，挫伤；伤痕，擦痕 vt. 打青， 使受淤伤； 挫伤， 伤害
associate	v. 把…联系在一起；使联合，结合；交往	[ə'səuʃiət] adj. 副的 n. 伙伴，同事
gown	n. 女礼服， 女裙服； 长袍； 罩衣
crawl	n&v. 爬行， 蠕动； 缓慢行进
identical	adj. 完全相同的， 同一的
plead	vi. 恳求，请求；申诉，答辩，辩护 vt. 为…辩护， 提出…为理由
kidney	n. 肾， 肾脏
gleam	n&vi. 闪亮， 闪烁； 闪现， 流露
ambitious	adj. 有抱负的， 雄心勃勃的； 有野心的
academic	adj. 学院的；学术的；纯理论的，不切实际的 n. 大学教师
function	vi. 工作， 运行； 起作用 n. 功能，职务；【数】函数；重大聚会
stock	v. 储备 adj. 常用的， 常备的 n. 原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜
sneak	vi. 偷偷地走，溜 vt. 偷偷地做
void	adj. 无效的；没有的，缺乏的 n. 空虚感，寂寞感；真空，空白 vt. 使无效
comparison	n. 比较， 对照； 比拟， 比喻
surge	vi. 蜂拥而出；洋溢，奔放；汹涌，奔腾 n. 洋溢， 奔放； 急剧上升， 猛增； 浪涛般汹涌奔腾
swap	n&v. 交换
ritual	adj. 作为仪式一部分的； 例行的 n. 仪式；例行公事，老规矩
liability	n. 责任； 负债， 债务； 不利条件， 起妨碍作用的人
hatch	vt. 孵出；筹划， n. 舱门； 开口； 孵化
patriot	n. 爱国者， 爱国主义者
tick	vi. 发出滴答声 n. 记号，勾号；滴答声 vt. 给…标记号
basis	n. 基础， 根据； 原则
tutor	v. 当…导师， 当…家庭教师 n. 导师；家庭教师，私人教师
senator	n. 参议员
successive	adj. 连续的， 接连的
quantify	vt. 确定…的数量， 量化
reconcile	vt. 使协调； 使和解； 使顺从， 使甘心
tempt	vt. 吸引， 引起…的兴趣； 引诱， 诱惑
obligation	n. 义务， 责任
paperback	n. 平装本， 简装本
evil	adj. 坏的 n. 邪恶，祸害
rarely	adv. 不常， 难得
hawk	n. 鹰，隼；“鹰派”人物 vt. 叫卖， 兜售
twist	v. 缠绕，盘绕；转动，旋动；捻，搓；歪曲，曲解；扭歪，扭伤；曲折前进；转身 n. 扭弯； 转折， 转变； 弯曲， 曲折处
forthcoming	adj. 即将到来的； 可得到的； 乐于提供消息的
patriotic	adj. 爱国的， 有爱国心的， 显示爱国精神的
complication	n. 困难， 难题； 并发症
perplex	vt. 使困惑， 使费解； 使复杂化
combat	n. 战争，斗争，格斗 vt. 与…斗争， 与…战斗
despise	vt. 鄙视， 看不起
levy	vt. 征收 n. 征税， 税款
indulge	vi. 沉溺， 纵容自己， 肆意从事 vt. 使沉溺于，满足；纵容，迁就
intimidate	vt. 恐吓， 威胁
effective	adj. 有效的； 有影响的
unity	n. 单一， 统一， 团结； 和睦， 协调
pursue	vt. 继续， 从事； 追赶， 追踪； 追求
vulgar	adj. 粗野的， 下流的； 庸俗的， 粗俗的
catastrophe	n. 大灾难， 灾祸
convey	vt. 表达； 传递； 运送， 输送
design	vt. 设计；预定，指定 n. 设计， 构想； 图样； 企图
generous	adj. 慷慨的， 宽厚的； 大量的
coincidence	n. 巧合， 巧事； 一致， 符合
victim	n. 牺牲者； 受害者
bust	vi. 爆裂，坏掉 vt. 打破，打碎 n. 胸像， 半身像； 胸部， 胸围
skull	n. 颅骨， 脑壳
hysterical	adj. 情绪异常激动的， 歇斯底里般的
lane	n. 小路， 跑道； 航道， 航线
contaminate	vt. 弄脏， 污染
ammunition	n. 弹药， 军火
chief	adj. 主要的，为首的；总的 n. 首领， 长官； 酋长， 族长
accord	v. 相符合， 相一致， 相和谐； 授予， 赠与， 给予 n. 一致，符合；谅解，协议
foremost	adj. 最好的， 最著名的， 最重要的
automatic	adj. 自动的； 必然发生的； 无意识的 n. 自动机械
despite	prep. 不管， 不顾
