inherent	adj. 内在的； 固有的， 生来就有的
stability	n. 稳定， 稳固
budget	v. 规划，安排；编预算 adj. 低廉的， 收费公道的 n. 预算，预算拨款
radiate	v. 发出， 辐射； 流露， 显示
given	adj. 规定的，特定的；假设的，已知的；有癖好的，有倾向的 prep. 考虑到
perish	vi. 丧生， 毁灭， 消亡； 失去弹性， 老化
pastime	n. 消遣， 娱乐
ultimate	adj. 最后的，最终的 n. 终极， 顶点
adapt	vt. 使适应； 改编
prosecute	vi. 起诉， 告发 vt. 对…提起公诉，告发，检举；继续从事
batch	n. 一批， 一组， 一群； 一批生产量
merit	n. 长处，优点；价值；功劳，成绩 vt. 值得， 应受
verbal	adj. 口头的； 用言辞的， 用文字的； 动词的
solicitor	n. 初级律师， 事务律师
intrinsic	adj. 固有的； 本质的； 内在的
proximity	n. 接近， 邻近
luminous	adj. 发光的， 发亮的； 光明的
lash	v. 将系牢；鞭打，抽打；猛烈打击；猛烈抨击，严厉斥责 n. 鞭打； 假睫毛； 鞭梢
receipt	n. 发票， 收据； 收入， 进款； 收到， 接到
assume	vt. 假定， 假设； 臆断； 承担， 担任； 呈现
predestine	vt. 预先确定； 注定
chant	vt. 反复有节奏地喊叫；吟诵，咏唱 n. 反复有节奏的喊叫； 赞美诗， 圣歌
destiny	n. 命运； 定数， 天命
capsule	n. 胶囊； 航天舱， 密封舱
concept	n. 概念， 观念； 设想
resistant	adj. 抵抗的； 抗…的， 耐…的
ozone	n. 臭氧
indefinite	adj. 无限期的； 模糊的， 不确定的
disaster	n. 灾难， 灾祸， 天灾； 彻底的失败
ecology	n. 生态； 生态学
minimal	adj. 最小的， 最低限度的
cocktail	n. 鸡尾酒； 餐前开胃小吃； 混合物
enhance	vt. 提高， 增加， 加强
convention	n. 习俗， 惯例； 公约； 会议
disease	n. 病， 疾病； 不健全， 弊端
calcium	n. 钙
notwithstanding	adv. 尽管
suspicion	n. 怀疑， 疑心， 猜疑； 一点儿， 少量
purchase	vt. 买，购买 n. 购买； 购买的物品
refusal	n. 拒绝
disposable	adj. 可任意使用的 n. 一次性物品， 不回收物品
bypass	n. 旁道，迂回道 vt. 绕过， 绕…走； 越过， 置…于不顾
silicon	n. 硅
clarity	n. 清楚， 明晰
fund	n. 资金，基金；存款 vt. 为…提供资金
typical	adj. 典型的， 有代表性的
recipient	n. 接受者， 接收者
commonwealth	n. [C-]英联邦； 联邦， 联合体
watt	n. 瓦
buzz	vi. 发出嗡嗡声；忙乱，急行；发出嘈杂的谈话声 n. 嗡嗡声； 嘈杂的谈话声
finance	n. 财政，金融；财源，财务情况 vt. 为…提供资金
incur	vt. 招致， 引起； 遭受
notorious	adj. 臭名昭著的， 声名狼藉的
assassination	n. 刺杀， 暗杀
infant	adj. 婴儿的， 幼稚的 n. 婴儿
gland	n. 腺
premise	n. 房屋和地基， 经营场址； 前提， 假设
circus	n. 马戏， 马戏团； 喧闹的场面； 环形广场
controversial	adj. 引起争论的， 有争议的
attain	vt. 达到， 获得； 完成
deprive	vt. 剥夺， 使丧失
tenant	n. 房客， 佃户
resultant	adj. 作为结果的， 因而发生的
pest	n. 有害生物， 害虫； 讨厌的人
pedal	vi. 踩踏板，骑车 n. 踏板，踏脚 vt. 脚蹬， 踩动…的踏板
batter	v. 连续猛击 n. 面糊
heritage	n. 遗产； 继承物； 传统
supreme	adj. 最高的， 最大的； 极度的， 最重要的
hostage	n. 人质
priority	n. 优先， 重点； 优先考虑的事
slope	v. 倾斜 n. 倾斜，斜面
inlet	n. 小湾， 水湾； 进口， 入口
metallic	adj. 金属的， 金属制的； 有金属特性的， 像金属的
shuttle	vi. 穿梭般来回 n. 短程穿梭运行的飞机；航天飞机；梭子 vt. 短程穿梭运送
regenerate	vi. 新生， 再生， 起革新作用 vt. 使新生，重建，改革，革新
allocate	vt. 分配； 分派， 把…拨给
latent	adj. 潜在的， 隐伏的， 不易察觉的
terrific	adj. 极妙的； 极大的； 令人恐惧的
standpoint	n. 立场， 观点
primary	adj. 首要的， 主要的； 基本的； 最初的， 初级的
pirate	n. 非法盗印者，侵犯版权者；海盗 vt. 盗用， 非法盗印
stubborn	adj. 顽固的， 执拗的， 倔强的； 难对付的， 难于克服的
formulate	vt. 构想出， 规划； 系统地阐述
consume	vi. 消灭， 毁灭 vt. 消费；吃完，喝光
dome	n. 圆屋顶， 穹顶
layer	n. 层， 层次
alien	adj. 外国的，外国人的；陌生的；性质不同的，不相容的 n. 外国人， 外侨； 外星人
competence	n. 能力， 胜任， 称职
fuse	v. 熔合， 合并； 因保险丝熔断而中断工作 n. 保险丝，熔丝；导火线
elite	n. [总称] 上层人士， 掌权人物， 实力集团； [总称]出类拔萃的人， 精英
premium	adj. 高级的，优质的；售价高的 n. 保险金；额外费用，加付款；奖品，赠品；额外津贴
ornament	n. 装饰品，点缀品；装饰，点缀 vt. 装饰， 点缀， 美化
assure	vt. 使确信； 确保， 向…保证
pretext	n. 借口， 托辞
ivory	n. 象牙； 象牙色， 乳白色
theme	n. 主题， 题目
consult	vt. 请教； 查阅； 商议
solidarity	n. 团结一致
tumble	vi. 跌倒，摔下，滚下；翻滚；暴跌；不由自主地卷入 n. 跌倒， 摔倒
gracious	adj. 亲切的，和蔼的；优美的；雅致的，雍容华贵的 int. 天哪!
