ambiguous	adj. 引起歧义的， 模棱两可的， 含糊不清的
impulsive	adj. 冲动的
qualitative	adj. 性质的， 定性的
diverse	adj. 不一样的， 相异的； 多种多样的
crisp	adj. 脆的，鲜脆的；挺括的；清新的，干冷的；简明扼要的，利落的 n. 油炸土豆片
prime	adj. 首要的；最好的 n. 青春；全盛时期 vt. 使准备好
intellect	n. 智力， 理解力； 才智非凡的人
preference	n. 喜爱， 偏爱； 优先； 偏爱的事物
mild	adj. 温柔的； 温暖的； 轻微的
loyal	adj. 忠诚的， 忠心的
impact	v. 影响， 作用， 冲击 n. [Im'pækt]
paralysis	n. 麻痹， 瘫痪， 中风； 无能， 无力
court	n. 法院， 法庭； 庭院； 宫廷； 球场
chapel	n. 小教堂， 祈祷室
distort	vi. 变形 vt. 歪曲，曲解；扭曲，使变形
subsidiary	adj. 辅助的，次要的，附设的 n. 子公司， 附属机构
venture	vi. 冒险； 大胆行事 n. 风险投资，风险项目 vt. 拿…冒险；敢于
discern	vt. 看出， 察觉出； 识别， 认出
enthusiasm	n. 热情， 热心， 热忱； 巨大兴趣
flexible	adj. 易弯曲的； 灵活的
domain	n. 领域， 范围； 领地， 势力范围
census	n. 人口普查， 统计
corpse	n. 死尸， 尸体
willful	adj. 故意的， 特意的
attitude	n. 态度， 看法； 姿势
relative	adj. 有关系的，相对的 n. 亲属， 亲戚
compare	vt. 比较， 对照； 把…比作
depict	vt. 描绘， 描述
hop	vi. 单足跳跃，单足跳行；齐足跳跃，齐足跳行 vt. 跳上 n. 蹦跳； 短程航行
characteristic	adj. 特有的，典型的 n. 特性
involvement	n. 连累； 包含
pave	vt. 铺， 铺筑
integral	adj. 构成整体所必需的， 基本的
lubricate	vt. 使润滑
comet	n. 彗星
deadline	n. 最后期限
bully	n. 恃强欺弱者 vt. 威吓， 欺负
chip	n. 屑片， 碎片； 炸土豆条； 集成电路片， 集成块； 缺口， 瑕疵
medieval	adj. 中世纪的； 中古的
tanker	n. 油轮
involve	vt. 使卷入， 牵涉； 包含， 含有
pistol	n. 手枪
assemble	vi. 集合，召集 vt. 集合， 聚集； 装配
watertight	adj. 不透水的， 防水的； 严密的， 无懈可击的
transition	n. 过渡， 转变
repel	vt. 使厌恶； 击退， 逐回， 驱除； 排斥
mutter	n&v. 轻声低语； 小声抱怨
series	n. 一系列， 连续； 丛书， 连续剧
complicated	adj. 复杂的， 难懂的
junk	n. 废旧物品，破烂 vt. 丢弃， 废弃
maximum	adj. 最大的； 最高的； 顶点的 n. 最大量；顶点
thrive	vi. 兴旺， 繁荣， 旺盛
imaginative	adj. 富有想象力的， 爱想象的
penguin	n. 企鹅
represent	vt. 作为…的代表， 表示， 象征； 描绘， 表现
masterpiece	n. 杰作
compete	vi. 比赛， 竞争， 对抗
tolerant	adj. 宽容的， 容忍的
dispatch	vt. 派遣，调遣，发送 n. 急件， 快信； 新闻报道； 派遣， 调遣
emergency	n. 紧急情况， 突然事件
dim	adj. 昏暗的，朦胧的；模糊不清的 v. 变暗淡
paralyze	vt. 使瘫痪， 使麻痹； 使丧失作用； 使惊愕， 使呆若木鸡
interpersonal	adj. 人与人之间的， 关于人与人之间关系的
exemplary	adj. 可作楷模的， 典范的
faculty	n. 才能， 能力； 系， 科； 全体教员
layoff	n. 解雇； 裁员； 歇工期， 停工期
wretched	adj. 极不愉快的， 难受的， 可怜的； 令人苦恼的， 讨厌的； 拙劣的
absurd	adj. 荒谬的， 荒唐的
modesty	n. 谦虚
considerate	adj. 考虑周到的， 体贴的， 体谅的
glamor	n. 魅力， 诱惑力
clue	n. 线索， 暗示， 提示
bracket	n. 括号；等级段，档次；壁架，托架 vt. 把…置于括号内； 把…归入同一类
legal	adj. 法律的； 合法的
midst	n. 中部； 中间； 当中
trait	n. 特征， 特点， 特性
radius	n. 半径， 半径范围
disintegration	n. 破裂， 分裂； 瓦解
signal	adj. 显著的， 重大的 n. 信号，暗号；标志，表示 vt. 发信号；标志着
impair	vt. 损害， 损伤； 削弱
dolphin	n. 海豚
sightseeing	n. 观光， 游览
stray	vi. 走失，迷路；分心，走神；离题 adj. 迷路的，走失的；孤立的，零星的 n. 走失的家畜
planet	n. 行星
exhaust	vt. 使筋疲力尽，用尽；详尽论述 n. 排气装置； 废气
thereafter	adv. 之后， 以后
soluble	adj. 可溶的； 可解决的
feast	vi. 尽情地吃， 宴饮； 参加宴会 n. 盛宴，筵席；节日
vision	n. 想象力， 梦幻； 视力， 视觉
accompany	v. 陪同， 伴随； 为…伴奏
armor	n. 盔甲， 装甲； 保护物
acceptance	n. 接受， 承认； 容忍
beneficial	adj. 有利的， 有益的
paradise	n. 天堂， 乐园
tackle	vt. 对付，处理；与…交涉；阻截，擒抱 n. 阻截， 擒抱； 用具， 钓具； 辘轳， 滑车
reckon	vt. 认为， 估计； 指望， 盼望； 测算， 测量
confusion	n. 困惑， 糊涂； 混淆； 骚乱
distract	vt. 转移， 使分心
hinge	vi. 以…为转移 n. 铰链 vt. 装铰链
virtual	adj. 实质上的， 事实上的， 实际上的
