segregate	vt. 使隔离， 使分开
addict	n. 有瘾的人； 入迷的人 vt. 使成瘾， 使入迷
prospect	n. 前景， 前途， 可能性； 景象， 景色； 可能成为主顾的人， 有希望的候选人
withhold	vt. 拒绝， 不给； 抑制， 制止
comparable	adj. 可比较的； 类似的； 比得上的
discreet	adj. 谨慎的， 慎重的， 审慎的
specialize	vi. 专攻，专门研究 vt. 使适应特殊目的， 使专用于
instance	n. 例子， 实例， 事例
presumably	adv. 大概， 可能， 据推测
bonus	n. 奖金， 红利； 额外给予的东西
recognition	n. 认出， 识别； 承认， 确认， 认可； 赏识， 表彰， 报偿
banquet	n. 宴会， 盛宴
thrill	v. 非常兴奋， 非常激动 n. 兴奋，激动；引起激动的事物
aisle	n. 过道， 通道
convene	vi. 开会，集合 vt. 召集
arrangement	n. 整理， 排列； 安排； 准备工作
revenue	n. 收入， 收益； 税收， 岁入
solution	n. 解决； 解决办法； 溶液
monopoly	n. 垄断， 专卖； 垄断物， 垄断商品， 专卖商品
opponent	n. 对手； 敌手， 对抗者
accelerate	vt. 使加快， 使增速
supplementary	adj. 增补的， 补充的
grain	n. 谷物， 谷粒， 颗粒； 少量， 微量
credit	n. 信贷，赊欠；赞扬，荣誉；学分；信任 vt. 相信； 把…记入贷方； 把…归于
oxygen	n. 氧， 氧气
intensive	adj. 加强的； 精耕细作的
alter	vt. 改变， 变更， 变动
combine	v. 结合，联合；化合 n. 联合企业； 联合收割机
ideal	adj. 理想的，观念的，空想的 n. 理想， 理想的东西
occur	vi. 发生， 出现， 存在； 被想起， 被想到
illustrate	vt. 说明
hose	n. 软管，水龙带 vt. 用软管淋浇
definitive	adj. 最可靠的， 权威性的； 决定性的
streak	vi. 飞跑，疾驶 n. 条纹，条痕；个性特征；一阵子，一连串 vt. 在…上加条纹
pressure	n. 压，压强；压迫 vt. 对…施加压力， 迫使， 说服
dentist	n. 牙科医生
brood	vi. 沉思，考虑；孵蛋 n. 一窝； 全体孩子
literacy	n. 识字， 有文化， 读写能力
originate	vi. 起源于，来自，产生 vt. 创造， 创始， 开创
specialist	n. 专家
background	n. 出身背景， 经历； 背景资料； 背景， 底子
millionaire	n. 百万富翁， 大富翁
transit	n. 运输， 载运
adolescent	adj. 青春期的； 青少年的 n. 青少年
nonetheless	adv. 尽管如此， 依然， 然而
dispose	v. 去掉， 销毁； 处理， 解决； 使倾向于
petty	adj. 小的， 琐碎的； 不重要的； 气量小的， 心胸狭窄的
glow	vi. 发光； 燃烧 n. 白热光；脸红；激情
sentiment	n. 意见， 观点； 感情， 情绪
differentiation	n. 区别
constitution	n. 宪法， 章程； 组成； 设立
patent	adj. 专利的，受专利保护的 n. 专利，专利权 vt. 得到…的专利权
cocaine	n. 可卡因， 古柯碱
groove	n. 沟， 槽
abundance	n. 大量， 丰富， 充足
racket	n. 喧嚷， 吵闹； 敲诈， 勒索， 诈骗； 球拍
conceive	vi. 构想出， 设想； 怀孕 vt. 想出，认为；怀
sour	adj. 酸的；馊的，酸味的；脾气坏的 v. 变酸， 变馊； 变得乖戾
transform	vt. 使改观， 改革； 变换， 把…转换成
napkin	n. 餐巾
reckless	adj. 鲁莽的， 不考虑后果的
paradox	n. 似乎矛盾而正确的说法； 自相矛盾的人
magnitude	n. 重要性， 重大； 巨大， 广大
justification	n. 正当的理由， 借口
genuine	adj. 真的， 真正的； 真诚的
execution	n. 死刑； 实行， 执行， 履行； 演奏， 表演
immune	adj. 免疫的， 有免疫力的， 不受影响的； 免除的， 豁免的
brochure	n. 小册子
stern	adj. 严厉的，严格的，严峻的 n. 船尾
rotary	adj. 旋转的， 转动的
compound	adj. 复合的，化合的 n. 化合物，复合物；复合词 vt. 使恶化， 加重； 使化合， 使合成
dub	vt. 给…起绰号， 把…称为； 为配音， 译制
masculine	adj. 男性的， 男子的； 男子气的
extraordinary	adj. 非同寻常的， 特别的
witness	n. 证据；目击者，证人 vt. 目击； 为…作证， 证明
conventional	adj. 普通的； 习惯的， 常规的； 因循守旧的
regulation	n. 规章， 规则； 管理， 控制， 调节
conform	vi. 遵守， 适应； 顺从； 相似， 一致， 符合
circulation	n. 循环， 流通； 流传， 传播， 发行； 发行量； 流通
authentic	adj. 真的， 真正的； 可靠的， 可信的
mere	adj. 仅仅的， 纯粹的
accommodation	n. 住处， 膳宿
evident	adj. 明显的， 明白的
suburb	n. 郊区， 郊外， 近郊
pumpkin	n. 南瓜
annoy	vt. 使恼怒； 打搅
profess	vt. 表示， 承认； 宣称信仰
psychological	adj. 心理的
credible	adj. 可信的， 可靠的
empirical	adj. 以经验为依据的， 经验主义的， 经验的
commit	vt. 犯， 干； 使承诺； 把…托付给； 调拨…供使用， 拨出
curb	vt. 控制，约束 n. 控制， 约束； 路缘
crash	vi. 倒下，坠落；发出撞击声；垮台，破产 vt. 碰撞，砸碎；冲，闯 n. 碰撞； 破裂声
character	n. 性格， 特性； 性质； 人物， 角色； 符号， 字
reflect	v. 反映， 显示； 反射， 映现； 深思， 考虑， 反省
outfit	n. 全套服装； 一组人； 全套装备， 全套工具
contribution	n. 贡献； 促成作用； 捐款， 捐献物； 稿件
ongoing	adj. 持续的， 继续的
massacre	vt. 大规模屠杀，残杀；彻底击败 n. 大屠杀， 残杀； 惨败
reassure	vt. 使放心
