virtually	adv. 事实上， 实质上
agreeable	adj. 令人愉快的， 惬意的； 同意的， 乐意的
economy	n. 经济； 节约， 节省
community	n. 社区， 社会， 公社； 团体， 界； 群落
version	n. 译文， 说法， 改写本
sprinkle	v. 撒，洒 n. 少量， 少数
bronze	n. 青铜， 青铜色， 古铜色； 青铜制品， 铜牌
conception	n. 思想， 观念， 概念； 构想， 设想； 怀孕
municipal	adj. 市的， 市政的
detain	vt. 拘留， 扣留； 留住， 耽搁
institute	n. 研究所，学院 vt. 建立， 设立
endure	v. 忍受， 容忍； 持久， 持续
detail	n. 细节，枝节；零件 vt. 详细说明
subculture	n. 亚文化
appropriate	adj. 适当的，恰当的 vt. 私吞； 拨款供专用
criterion	n. 标准， 准则
essence	n. 本质， 实质， 要素； 精髓， 精华
pore	vi. 仔细阅读， 审视 n. 毛孔，细孔
utility	n. 效用， 有用
manual	adj. 用手的，手工做的 n. 手册， 指南
maneuver	vi. 设法变动位置； 用策略， 耍花招 n. 谨慎而熟练的动作；策略，花招；演习 vt. 设法使变动位置；操纵，控制
symphony	n. 交响乐， 交响曲； 和谐， 协调
eloquent	adj. 雄辩的， 口才流利的， 有说服力的； 明白显示出的
optimistic	adj. 乐观的， 乐观主义的
dual	adj. 双的， 两重的
submarine	adj. 水底的， 海底的 n. 潜水艇
aspect	n. 方面； 朝向、 方向； 样子， 外表
aggressive	adj. 侵略的， 好斗的； 敢作敢为的； 有进取心的
stump	vi. 脚步沉重地走 n. 树桩；残根，残余部分 vt. 把…难住，使为难；在…做巡回演说
behavior	n. 行为， 举止， 表现
federation	n. 联合会； 联邦
minimize	vt. 使减少到最低限度； 极力贬低， 对…作最低估计
descend	vi. 下来，下降 vt. 走下， 爬下
signify	vi. 有重要性 vt. 表示…的意思，意味，预示
logical	adj. 逻辑的， 合乎常理的
reconciliation	n. 和解， 调和
weird	adj. 古怪的， 离奇的； 怪诞的， 神秘而可怕的
characterize	vt. 成为…的特征， 以…为特征； 描绘的特性， 描述
descent	n. 下降， 下倾； 斜坡， 坡道； 血统， 世系
ridiculous	adj. 荒谬的， 可笑的
turbulent	adj. 动荡的， 混乱的； 汹涌的， 狂暴的
overt	adj. 公开的， 不隐蔽的
refute	vt. 驳斥， 驳倒
precedent	n. 先例， 范例； 【法】 判例； 惯例
severe	adj. 严重的； 严厉的， 严格的； 严峻的， 艰难的； 朴素的， 不加装饰的
emerge	vi. 出现， 涌现， 冒出
exemplify	vt. 是…的典型； 例示， 举例证明
lease	n. 租约，租契 vt. 出租； 租得， 租有
exploit	vt. 剥削； 利用； 开拓 n. 业绩， 功绩
slap	vt. 掴，掌击，拍；啪的一声放 n. 掴， 掌击， 拍
anniversary	n. 周年
register	v. 登记， 注册； 指示， 自动记下； 表示， 表达； 注意到， 记住； 把挂号 n. 登记，注册；登记表，注册簿
communicate	v. 通讯， 交际， 交流； 连接， 相通； 传达， 传播； 传染
evidence	n. 根据， 证据； 证人
jerk	v. 猝然一动，猛拉 n. 急推， 急拉， 急扭
fling	vt. 扔，掷；使扑，使投身 n. 尽情欢乐的一阵， 一时的放纵
stun	vt. 使震惊， 使目瞪口呆； 把…打昏， 使昏迷
acid	adj. 酸的， 酸性的； 尖刻的， 刻薄的 n. 酸
autonomy	n. 自治， 自治权； 人身自由， 自主权
transmission	n. 传播， 发射； 传送， 传递； 传染
blush	n&vi. 脸红
dubious	adj. 怀疑的， 犹豫不决的， 无把握的； 有问题的； 靠不住的
intuition	n. 直觉； 由直觉获知的信息
artillery	n. 火炮， 大炮； 炮兵
educational	adj. 教育的， 教育性的
pose	v. 造成，引起；提出，陈述；摆姿势；假装，冒充，装腔作势 n. 样子， 姿势
finite	adj. 有限的， 有限制的； 限定的
amend	vt. 修改，修订，改进 n. 赔罪， 赔偿
erupt	vi. 喷发， 喷出； 爆发， 突然发生
exquisite	adj. 精美的， 精致的； 敏锐的， 有高度鉴赏力的； 剧烈的， 感觉强烈的
collide	vi. 碰撞， 互撞； 冲突， 抵触
remedy	n. 补救办法，纠正办法；药品，治疗法 vt. 补救， 纠正； 医治， 治疗
cardinal	adj. 最重要的； 基本的 n. 红衣主教；【数】基数
consent	n&vi. 同意， 赞成
insist	v. 坚持； 坚持要求； 坚决认为
fusion	n. 联合， 合并； 核聚变
volume	n. 卷， 册， 书卷； 容积， 体积； 音量， 响度
mutual	adj. 相互的； 共同的
therefore	adv. 因此， 所以
exchange	n&vt. 交换； 交流； 兑换
indignant	adj. 愤怒的， 愤慨的， 义愤的
hesitate	vi. 犹豫， 踌躇， 含糊； 不情愿
decimal	adj. 十进位的 n. 小数
cynical	adj. 愤世嫉俗的， 怀疑的
ventilate	vt. 使通风； 把…公开， 公开讨论
scoop	v. 舀出； 抢在之前报道新闻 n. 勺子；抢先报道的新闻
companion	n. 同伴， 共事者； 伴侣
culminate	vi. 告终
breakdown	n. 垮台， 破裂； 衰竭， 衰弱； 损坏， 故障； 明细， 清单
directory	n. 人名地址录； 工商行名录； 号码簿
behave	vi. 表现，举止；运转，做出反应 vt. 检点自己的行为
accomplish	vt. 达到， 完成
strand	n. 股，缕；一个组成部分 vt. 使搁浅
constituent	adj. 组成的， 构成的 n. 选民，选区居民；成分，组成；配料
engine	n. 引擎， 发动机； 机车
irritate	vt. 使恼怒， 使烦躁； 使不适， 使疼痛
scope	n. 范围； 余地， 机会
responsible	adj. 需负责任的， 承担责任的； 有责任感的， 负责可靠的； 责任重大的， 重要的
linen	n. 日用织品； 亚麻织品， 亚麻布
expectancy	n. 预料； 期待； 盼望
