heel	n. 脚后跟， 踵； 后跟
gloom	n. 昏暗， 阴暗； 忧郁， 沮丧
adore	vt. 崇拜， 敬慕； 爱慕， 热爱； 非常喜欢
persist	vi. 坚持， 持续
caution	n. 小心，谨慎；注意，警告 vt. 警告， 劝…小心
offensive	adj. 冒犯的，无礼的，使人不快的；进攻的，攻击性的 n. 进攻， 攻势
texture	n. 质地； 结构
closet	adj. 私下的；隐蔽的 n. 橱，壁橱 vt. 把…引进密室会谈
speculate	v. 推测， 推断； 投机， 做投机买卖
dismantle	vt. 拆开， 拆卸
monster	adj. 大的， 庞大的 n. 怪物；极其残酷的人；巨人，巨兽，巨大的东西
bud	vi. 发芽， 萌芽 n. 花蕾，叶芽
confirm	vt. 证实， 肯定； 确认； 批准
bug	n. 虫子；小病；故障，缺陷；窃听器 vt. 烦扰， 纠缠； 在…装窃听器
prescient	adj. 预知的， 预见的
acquaint	vt. 使认识， 使了解； 使熟悉
elastic	adj. 有弹性的； 灵活的 n. 松紧带
consequent	adj. 作为结果的， 随之发生的
vast	adj. 巨大的， 大量的； 浩瀚的
intervene	vi. 干涉， 干预； 干扰， 阻挠
symbol	n. 象征； 符号， 标志
ignite	vi. 着火 vt. 点燃，引发
commercial	adj. 商业的， 商务的； 商品化的， 商业性的
revelation	n. 被提示的真相， 新发现； 揭示， 透露， 显示
available	adj. 现成可使用的， 通用的； 可取的； 联系的； 可得到的
innumerable	adj. 无数的， 数不清的
advocate	vt. 拥护， 提倡， 主张 n. 拥护者， 提倡者； 辩护者， 律师
confine	vt. 限制，使局限；使不外出，禁闭
quest	n. 寻找， 搜索； 追求
frequency	n. 屡次， 次数， 频率； 经常发生
elicit	vt. 诱出， 探出
relegate	vt. 使降位， 使降级； 把…委托给
trivial	adj. 琐碎的， 不重要的
burial	n. 葬， 掩埋； 葬礼
luggage	n. 行李
drawback	n. 缺点， 欠缺； 不利条件
longevity	n. 长寿， 寿命
military	adj. 军事的；军用的 n. 军队， 武装力量
dynamic	adj. 动力的， 动力学的； 动态的； 有活力的， 有生气的
wardrobe	n. 衣柜； 全部衣物
reluctant	adj. 不情愿的， 勉强的
conscientious	adj. 认真的， 勤勤恳恳的
passion	n. 激情， 热情； 酷爱
generate	vt. 发生， 引起； 生殖
extreme	adj. 极度的；最后的 n. 极端， 过分
tuck	vt. 把边塞到下面；把…夹入，把…藏入 n. 褶， 裥
authoritative	adj. 有权威性的， 可信的； 专断的， 命令式的
athlete	n. 运动员， 体育家
upright	adv. 挺直着， 竖立着 adj. 垂直的；正直的，诚实的
extract	vt. 取出，抽出；采掘，提炼，榨取；获得，索取；摘录['3kstrækt] n. 摘录， 选段； 提出物， 精， 汁
obscure	adj. 不著名的，不重要的；费解的，模糊不清的 vt. 使变糊， 掩盖
dismay	n. 失望，气馁；惊恐 vt. 使失望， 使气馁； 使惊恐
expend	vt. 花费， 消费； 消耗
forge	vt. 打制， 锻造； 伪造
demonstrate	vt. 说明， 论证； 表露
region	n. 地区， 地带， 区域； 范围， 幅度
deceive	vi. 行骗 vt. 欺骗，蒙蔽
preview	n. 预映， 预演； 预告
ingenious	adj. 设计独特的， 别致的， 巧妙的； 灵巧的， 善于创造发明的
questionnaire	n. 问卷， 征求意见表
breakthrough	n. 突破， 突破性进展， 重要的新发现
snack	n. 快餐， 小吃， 点心
yoke	n. 牛轭；束缚，枷锁 vt. 结合， 联结
destination	n. 目的地， 终点； 目标
throne	n. 御座， 宝座； 王位， 王权
privacy	n. 个人自由； 隐私， 私生活， 私事
reciprocal	adj. 相互的； 互惠的
vertical	adj. 垂直的， 竖式的
inventory	n. 详细目录， 存货清单
vivid	adj. 鲜艳的； 生动的， 栩栩如生的
flush	vi. 发红 adj. 齐平的， 同高的
heir	n. 继承人
screw	n. 螺丝 vt. 用螺钉固定， 拧， 拧紧
kit	n. 成套工具，成套用品；配套元件 vt. 装备
virtue	n. 善， 美德； 优点， 长处
emphasize	vt. 强调， 着重
turnover	n. 营业额， 成交量； 人员调整， 人员更替率
mortal	adj. 终有一死的；致命的；你死我活的，不共戴天的 n. 凡人， 人类
coverage	n. 新闻报道； 覆盖范围
figure	vi. 出现；合乎情理 n. 数字；人物；算术；体型，风姿；轮廓；画像，塑像；图，图形 vt. 计算； 认为， 猜想
brutal	adj. 野兽般的， 残忍的； 无情的， 冷酷的， 难以忍受的
slight	adj. 轻微的，微小的 v. 侮慢；轻视，冷落
ore	n. 矿， 矿石
corrupt	adj. 堕落的，腐败的，贪赃舞弊的 vt. 腐蚀， 使堕落
preclude	vt. 排除； 阻止， 妨碍
previous	adj. 先的， 前的， 以前的
regime	n. 政治制度， 政权
transmit	vt. 传送， 传递； 传染； 播送， 发射
commemorate	vt. 纪念， 庆祝
argue	vi. 争论，争辩，辩论 vt. 主张； 说服
consumption	n. 消耗， 消费； 肺病
premature	adj. 比预期时间早的； 不成熟的， 仓促的
superior	adj. 上级的，较高的；优越的；有优越感的，高傲的 n. 上级， 长官
drought	n. 干旱， 旱灾
periodical	adj. 周期的； 定期的； 时而发生的 n. 期刊
leaflet	v. 散发传单 n. 传单，散页印刷品，小册子
accessory	n. 附件， 零件， 配件； 装饰品； 同谋， 帮凶， 包庇犯
compromise	v. 妥协； 危及； 放弃 n. 妥协，和解；折中办法
retort	n&v. 反驳， 回嘴
electrify	vt. 使充电， 使电气化； 使激动， 使兴奋
