seminar	n. 研究班， 研讨会
fringe	adj. 附加的 n. 刘海；饰以流苏的边；边缘，外围 vt. 成为…的边缘
competition	n. 比赛； 竞争
beyond	adv. 在更远处， 再往后 prep. 在…的那边，远于；迟于；越出
hazard	n. 危险，公害 vt. 尝试着做， 冒…风险
justify	vt. 证明…是正当的
dreadful	adj. 糟透了的， 极不合意的； 极端的， 极其大的； 可怕的
voluntary	adj. 自愿的， 志愿的
connection	n. 连接； 联系； 连接物， 连接点； 亲戚
proof	adj. 耐…的， 能防…的 n. 证据，证明；校样，样张
militant	adj. 激进的；好斗的 n. 激进分子， 斗士
simulate	vt. 模仿， 模拟； 假装， 冒充
intricacy	n. 错综复杂；
phase	n. 阶段； 方面； 相， 相位
dilute	adj. 稀释的， 冲淡的 vt. 稀释，冲淡
inclusive	adj. 包括一切的， 包括一切费用在内的； 所有数目包括在内的
efficiency	n. 效率； 功效， 效能
ethnic	adj. 种族的
spectacle	n. 演出， 场面； 景象， 壮观； 眼镜
overhead	adv. 在头顶上 adj. 在头顶上的；架空的 n. 经常费用， 管理费用
contract	v. 缩小； 订合同； 感染， 染上 n. 契约， 合同
conclude	vi. 结束， 终了 vt. 推断出，推论出；缔结，议定
profitable	adj. 有利可图的， 有益的
misfortune	n. 不幸， 厄运， 逆境； 不幸事故， 灾难， 灾祸
comprehension	n. 理解， 理解力， 领悟； 理解力测验
susceptible	adj. 易受影响的； 过敏的； 能经受的， 容许的
leather	n. 皮革； 皮革制品
insight	n. 洞察力； 洞悉， 深刻的见解
intact	adj. 完整无缺的； 未经触动的； 未受损伤的
instrumental	adj. 起作用的， 有帮助的； 用乐器演奏的
fabric	n. 织物， 纺织品； 结构
revolutionary	adj. 革命的；革新的 n. 革命者
unemployment	n. 失业， 失业人数
juvenile	adj. 少年的，少年特有的；幼稚的，不成熟的 n. 未成年人， 少年
force	vt. 强迫；用力推动，用力打开 n. 军队， 兵力； 暴力， 武力； 力， 力气； 影响力， 效力
sympathetic	adj. 同情的； 和谐的； 赞同的， 支持的； 合意的
periodic	adj. 周期的， 定期的， 时而发生的
distribution	n. 分发， 分配， 分布
derive	vi. 起源， 衍生 vt. 取得，得到；追溯…的起源或来由
capacity	n. 容量； 能力； 能量； 才能； 身份， 地位
cope	vi. 应付， 处理
overhear	vt. 无意中听到， 偷听到
dart	vi. 猛冲，飞奔 vt. 投射 n. 飞镖， 飞镖游戏； 急驰， 飞奔
flaw	n. 缺点， 瑕疵， 缺陷
saturate	vt. 使湿透， 浸透； 使充满， 使饱和
feature	n. 特征，特色；面貌；特写，专题节目；故事片 vt. 突出； 由…主演
flat	adv. 平直地； 直截了当地 adj. 平的；固定的；漏气的；单调的，沉闷的；浅的 n. 一套房间，单元住宅
assert	vt. 肯定地说， 断言； 维护， 坚持； 坚持己见
climax	n. 高潮， 最令人兴奋的部分
recall	vt. 回忆； 召回， 叫回； 收回， 撤销
rectangular	adj. 长方形的， 矩形的
flap	vi. 飘动， 拍动； 振翅 n. 片状垂悬物；飘动，摆动，振动；激动，慌忙状态 vt. 使拍动，使飘动
precise	adj. 精确的， 准确的； 严谨的
sensible	adj. 明智的， 合情理的
objection	n. 反对， 异议； 反对的理由
precious	adj. 珍贵的， 宝贵的
contrive	vt. 谋划， 策划； 设法做到； 设计， 想出
inhabitant	n. 居民， 住户
fraction	n. 小部分， 片断； 【数】 分数
token	adj. 象征性的， 装样子的 n. 筹码；信物，标志，纪念品；代金券，礼券
emotion	n. 情感， 感情； 激动
massive	adj. 大的， 大而重的； 大块的； 大量的， 大规模的
assess	vt. 对估价； 评价， 评论
mingle	vi. 混合起来， 相混合； 相交往， 相往来 vt. 使混合，使相混
prescription	n. 处方， 药方， 药； 开处方， 开药方
spectator	n. 观众， 旁观者
edible	adj. 可以吃的， 可食用的
prone	adj. 易于…的， 很有可能…的； 俯卧的
chorus	n. 合唱队；合唱，合唱曲；副歌，叠句；齐声，齐声说的话 vt. 齐声说， 随声附和
owe	vt. 欠； 应把…归功于； 感激， 感恩
asset	n. 资产， 财产； 有价值的特性或技能， 优点
exposition	n. 阐述， 讲解； 展览会， 博览会
minimum	adj. 最低的， 最小的 n. 最低限度，最小量
apology	n. 道歉， 认错， 谢罪
reveal	vt. 揭露， 泄露； 展现， 显示
adequate	adj. 足够的； 可以胜任的
owl	n. 猫头鹰
cork	n. 软木，软木塞 vt. 用瓶塞塞住
tremendous	adj. 极大的， 非常的； 精彩的， 了不起的
norm	n. 标准， 规范； 准则
condense	vt. 使冷凝， 使凝结； 浓缩， 压缩， 简缩
impetus	n. 推动， 促进， 刺激； 推动力
indignation	n. 愤怒， 愤慨， 义愤
barrier	n. 栅栏； 检票口； 屏障； 障碍， 隔阂
realistic	adj. 现实的； 实际可行的； 现实主义的， 逼真的
divert	vt. 使转向， 使改道； 转移， 转移…的注意力； 使娱乐， 使消遣
conspicuous	adj. 显眼的， 明显的
verse	n. 诗， 诗句
criminal	adj. 犯罪的， 刑事的 n. 犯人，罪犯，刑事犯
furious	adj. 狂怒的， 暴怒的； 强烈的， 激烈的
obesity	n. 过度肥胖
tan	vi. 晒成棕褐色 vt. 使晒成棕褐色；硝制 n. 棕褐色， 棕黄色； 晒成棕褐色， 晒黑
individual	adj. 个别的；独特的 n. 个人， 个体
briefcase	n. 公文包， 公事包
nuisance	n. 讨厌的人； 麻烦事
brace	vi. 做好准备；振作精神 vt. 使防备，使受锻炼；支住，撑牢，使绷紧 n. 支架， 托架
constrain	vt. 限制， 约束； 克制， 抑制
brisk	adj. 轻快的， 生气勃勃的； 兴隆的， 繁忙活跃的； 寒冷而清新的
prestige	n. 威信， 威望
insulation	n. 绝缘
